
Country,League,Club,Player_Names,Matches_Played,Substitution,Mins,Goals,xG,xG_Per_Avg_Match,Shots,OnTarget,Shots_Per_Avg_Match,On_Target_Per_Avg_Match,Year
Brazil,Campeonato Brasileiro,(FLU),Henrique Dourado,32,0,2472,19,14.83,0.56999999999999995,65,37,2.5,1.42,2017
Brazil,Campeonato Brasileiro,(FLU),Andre,35,0,2931,16,14.81,0.47999999999999998,88,34,2.8500000000000001,1.1,2017
Brazil,Campeonato Brasileiro,(BAH),Edigar Junio,21,5,1547,12,11.4,0.69999999999999996,49,29,3.0099999999999998,1.78,2017
Brazil,Campeonato Brasileiro,(AVF),Junior  Dutra,27,3,2022,9,10.43,0.48999999999999999,75,25,3.52,1.17,2017
Brazil,Campeonato Brasileiro,(TOM),Luiz Fernando,21,12,1769,9,5.96,0.32000000000000001,42,16,2.2599999999999998,0.86,2017
Spain,La Liga,(RMA),Karim Benzema,35,1,3072,21,17.460000000000001,0.54000000000000004,104,44,3.2200000000000002,1.36,2018
Spain,La Liga,(VAL),Maxi Gomez,33,2,3148,13,12.92,0.39000000000000001,82,28,2.4700000000000002,0.84,2018
Spain,La Liga,(CEL),Iago Aspas,26,1,2369,20,12.470000000000001,0.5,69,32,2.77,1.28,2018
Spain,La Liga,(GET),Jaime Mata,27,7,2569,14,12.44,0.46000000000000002,59,25,2.1800000000000002,0.92,2018
Spain,La Liga,(BIL),Inaki Williams,36,2,3148,12,13.59,0.40999999999999998,75,33,2.2599999999999998,1,2018
Spain,La Liga,(GIR),Cristhian Stuani,30,2,2897,19,16.469999999999999,0.54000000000000004,77,39,2.5299999999999998,1.28,2018
Spain,La Liga,(OSA),Chimy Avila,20,14,2131,10,7.6299999999999999,0.34000000000000002,88,24,3.9199999999999999,1.07,2018
Spain,La Liga,(ESP),Raul de Tomas,32,1,2964,14,16.219999999999999,0.52000000000000002,115,47,3.6899999999999999,1.51,2018
Spain,La Liga,(ATL),Luis Suarez,31,2,2954,21,24.879999999999999,0.80000000000000004,112,58,3.6000000000000001,1.87,2018
Spain,La Liga,(LEV),Roger,23,8,1999,13,14.1,0.67000000000000004,71,30,3.3700000000000001,1.43,2018
Spain,La Liga,(SOC),Willian Jose,28,3,2471,12,11.699999999999999,0.45000000000000001,55,26,2.1099999999999999,1,2018
Spain,La Liga,(SEV),Pablo Sarabia,30,3,2877,13,11.81,0.39000000000000001,75,31,2.48,1.02,2018
Spain,La Liga,(SOC),Mikel Oyarzabal,36,1,3300,13,11.119999999999999,0.32000000000000001,66,28,1.8999999999999999,0.81,2018
Spain,La Liga,(BAR),Antoine Griezmann,37,0,3349,15,14.449999999999999,0.40999999999999998,113,45,3.21,1.28,2018
Spain,La Liga,(BET),Borja Iglesias,35,2,3246,17,16.399999999999999,0.47999999999999998,90,38,2.6299999999999999,1.11,2018
Spain,La Liga,(BAR),Lionel Messi,29,5,2849,36,25.489999999999998,0.84999999999999998,170,87,5.6699999999999999,2.9,2018
Spain,La Liga,(GRA),Jorge Molina,28,10,2819,14,11.279999999999999,0.38,57,23,1.9199999999999999,0.78,2018
Spain,La Liga,(EIP),Charles,17,17,1861,14,13.91,0.70999999999999996,63,30,3.2200000000000002,1.53,2018
Spain,La Liga,(SEV),Wissam Ben Yedder,31,4,2975,18,17.219999999999999,0.55000000000000004,76,36,2.4300000000000002,1.15,2018
Spain,La Liga,(LEV),Morales,35,2,3381,12,13.52,0.38,65,33,1.8300000000000001,0.93,2018
Italy,Serie A,(NAP),Arkadiusz Milik,27,8,2560,17,12.4,0.46000000000000002,111,51,4.1200000000000001,1.89,2018
Italy,Serie A,(ATA),Duvan Zapata,32,5,3064,23,18.379999999999999,0.56999999999999995,118,50,3.6600000000000001,1.55,2018
